datetime,text
2020-10-05 10:50:01,98 neue Corona-Infektionen: Sieben-Tage-Wert steigt
2020-10-05 17:30:01,"Auf den letzten Drücker: Hektisches Treiben am ""Deadline Day"""
2020-10-05 09:05:01,"Fast 1, 7 Millionen Euro Überbrückungshilfe für Studierende"
2020-10-05 17:10:01,Arbeitskampf: Klinik-Personal im Streik
2020-10-05 12:30:02,Nach Blitz-Ausflug trotz Corona - Secret Service geht auf Trump los
2020-10-05 15:05:01,"Mann mit 3, 67 Promille am Hauptbahnhof aufgelesen"
2020-10-05 10:20:01,Maskierte sprengen Geldautomaten
2020-10-05 17:10:03,Weißrussische Oppositionsführerin bei Podiumsdiskussion in Berlin
2020-10-05 06:50:02,Googles Gaben
2020-10-05 07:10:01,Tödliche Messerattacke auf Lebensgefährtin: Mann vor Gericht
2020-10-05 15:00:03,Rechnungshof stellt Jahresbericht vor: Seitenweise Kritik
2020-10-05 02:40:02,Ärzte sind bestürzt: Trumps verantwortungslose Spazierfahrt
2020-10-05 21:00:01,Zentralrat der Juden: Stahlknecht befördert Antisemitismus
2020-10-05 14:50:01,"Carstensen zu Angriff: ""Die Tat ist abscheulich"""
2020-10-05 13:45:02,Verdi ruft in Dresden mehrere Behörden zum Warnstreik auf
2020-10-05 03:40:01,Tschentscher bestürzt über Angriff vor Hamburger Synagoge
2020-10-05 07:45:02,Drei Grundschüler an Bushaltestelle angefahren und verletzt
2020-10-05 10:15:02,Corona in Berlin: Schleswig-Holstein stuft vier Bezirke als Risikogebiete ein
2020-10-05 16:10:02,Unfall im Sauerland - Lkw bohrt sich in Gebäude – Fahrer tot
2020-10-05 11:25:02,Hausmittel: Mit Kurkuma und Koriander gegen Bläschen im Mund
2020-10-05 13:05:02,"„Digital, dynamisch, druckfertig – das sind unsere drei D für die Zukunft des Bauens“"
2020-10-05 19:55:01,Video-Nachfolgekonferenz: Neues Bekenntnis zum Stopp der Waffenlieferungen nach Libyen
2020-10-05 15:50:02,SPORT-BILD-Prognose von F1-Star - Vettel tippte Bundesliga-Spieltag richtig
2020-10-05 08:35:04,Aus dem Nichts aufgetaucht: Radfahrer kollidiert mit 56 km/h mit einem Hirsch
2020-10-05 18:00:01,Paderborn holt Nkaka und Owusu
2020-10-05 06:55:02,Zahl der Geflüchteten in Deutschland geht erstmals seit 2011 zurück
2020-10-05 15:00:03,US-Präsident hat Covid-19 - Verschwieg er positiven Test? Die diffuse Corona-Chronik von Trump
2020-10-05 14:30:01,Mann liegt auf der Straße: Keine Hinweise auf Verbrechen
2020-10-05 07:15:02,Vor Transferschluss am Montag - Darum lässt Hertha Götze zappeln
2020-10-05 07:35:03,Nach Autounfall ohne Schuld Anwalt einschalten
2020-10-05 06:30:02,Aktien Frankfurt Ausblick: Signale einer Erholung Trumps geben Rückenwind
2020-10-05 14:30:02,Die BILD Ratgeber-Reihe - So wird man Läuse dauerhaft wieder los
2020-10-05 23:50:01,Senat diskutiert über Kita-Plätze und Corona-Maßnahmen
2020-10-05 16:10:02,Koblenzer Karnevalsvereine wollen vorsichtig feiern
2020-10-05 11:20:02,Fünf Verletzte nach Überholmanöver auf A9
2020-10-05 04:55:02,Mann fährt gegen Baum in Greifswald: Beifahrerin stirbt
